"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","专属服务模块","1","0","服务流程","0"
"0","","0","首页模块","5","0","底部导航","0"
"0","","0","健康数据平台模块","1","0","页面访问","0"
"0","","0","健康数据平台模块","1","0","数字健康管理","0"
"0","","0","专属服务模块","1","0","健康管理计划","0"
"0","","0","首页模块","2","0","页面访问","0"
"0","","0","专属服务模块","1","0","页面访问","0"
"0","","0","首页模块","1","0","AI服务","0"
"0","","0","关于我们模块","2","0","联系我们表单","0"
"0","","0","大事件模块","2","0","健康资讯","0"
"0","","0","健康数据平台模块","1","0","可视化大屏","0"
"0","","0","专属服务模块","1","0","团队介绍","0"
"0","","0","首页模块","1","0","导航功能","0"
"0","","0","专属服务模块","1","0","医生团队","0"
"0","","0","关于我们模块","2","0","表单提交","0"
"0","","0","大事件模块","1","0","事件轮播","0"
"0","","0","大事件模块","1","0","事件详情","0"
"0","","0","关于我们模块","1","0","页面访问","0"
"0","","0","关于我们模块","1","0","产品介绍","0"
"0","","1","首页模块","0","0","健康管理服务","0"
"0","","0","大事件模块","1","0","页面访问","0"
